id_instalacion,fecha_cierre,fecha_apertura,rut_jefe_cierre
103,2012-01-23 00:43:47,2012-01-31 06:54:04,44715611-3
173,2017-08-21 02:29:25,2017-08-26 02:50:30,91995839-1
18,2015-12-17 00:16:27,2015-12-20 16:05:18,82645956-5
34,2017-10-18 07:34:56,2017-10-27 17:02:28,14200344-9
91,2019-08-29 00:03:15,2019-09-10 15:26:21,74415365-4
174,2017-07-02 15:46:45,2017-07-06 19:52:42,41091494-8
88,2013-12-11 00:19:37,2013-12-24 02:38:44,73324033-4
46,2020-01-11 04:41:41,2020-01-17 15:41:58,67629255-1
153,2010-06-02 05:06:45,2010-06-09 14:38:50,38631846-8
192,2018-02-22 21:33:23,2018-03-09 06:33:55,33572631-6
191,2017-08-25 13:52:13,2017-09-08 15:51:00,32359787-1
28,2018-09-26 20:50:40,2018-10-04 00:57:34,94362008-3
82,2013-05-15 07:21:50,2013-05-25 08:59:44,86043030-4
13,2020-07-21 17:41:52,2020-07-28 22:58:38,79459402-3
144,2018-01-06 22:29:40,2018-01-12 05:36:38,70388205-6
183,2010-03-28 04:27:27,2010-04-07 15:58:53,34776869-3
105,2013-11-02 21:45:14,2013-11-07 11:52:29,95514882-7
207,2013-09-30 22:21:46,2013-10-12 22:35:59,79758989-6
21,2016-05-20 03:26:46,2016-05-30 12:41:18,82376572-k
56,2015-03-30 03:10:35,2015-04-03 17:41:23,63968995-6
125,2019-06-11 00:35:34,2019-06-15 06:54:53,84911278-3
160,2016-02-28 03:15:36,2016-03-06 11:41:39,96735305-1
184,2012-06-01 23:46:13,2012-06-08 02:16:50,14046488-0
77,2019-04-04 04:52:02,2019-04-07 07:38:53,78734770-3
10,2015-08-11 11:40:43,2015-08-24 18:23:12,49326776-0
116,2012-09-21 16:19:30,2012-09-30 02:43:16,52968708-7
134,2013-02-16 17:00:30,2013-03-03 03:28:17,80698616-k
210,2020-09-04 10:06:12,2020-09-14 02:23:01,83386046-1
185,2013-12-24 06:16:08,2013-12-30 16:52:18,86555166-5
27,2016-02-04 20:35:48,2016-02-08 02:06:06,69402733-4
213,2015-02-22 20:57:26,2015-02-26 23:20:58,72800848-2
140,2013-10-28 18:39:37,2013-11-02 04:04:43,68377701-3
164,2013-11-12 08:06:10,2013-11-23 11:24:35,61995722-9
60,2019-03-26 16:24:20,2019-04-07 21:01:36,54121962-5
115,2014-10-07 00:06:01,2014-10-11 13:14:54,27952560-4
129,2012-08-30 14:52:01,2012-09-07 06:49:23,20180335-7
203,2019-01-05 05:58:33,2019-01-08 20:43:10,75129314-3
171,2019-01-08 17:11:14,2019-01-18 23:33:26,11091024-k
65,2016-08-18 11:01:08,2016-08-27 03:40:55,71134226-5
101,2017-02-06 04:26:09,2017-02-17 16:17:03,89146700-1
48,2013-03-22 14:03:33,2013-03-30 00:31:48,11554909-k
133,2013-05-28 04:36:20,2013-06-03 06:51:51,31113786-7
10,2014-01-21 19:00:16,2014-02-04 06:59:03,11118739-8
28,2013-02-24 00:58:46,2013-03-07 03:42:00,83118985-1
31,2011-03-19 08:20:07,2011-04-03 00:13:42,90471139-k
148,2016-07-11 00:12:12,2016-07-18 06:37:45,89671041-9
25,2019-10-01 16:08:08,2019-10-14 08:44:54,42226798-0
102,2010-04-16 01:14:24,2010-04-28 02:11:09,34643031-1
47,2012-01-09 04:34:41,2012-01-19 06:03:18,27183294-k
21,2019-08-28 11:12:00,2019-09-06 03:39:40,35340502-0
207,2015-12-19 14:57:37,2015-12-28 22:37:46,79758989-6
201,2017-07-01 04:40:56,2017-07-06 20:40:40,86683089-4
200,2010-09-08 22:07:44,2010-09-17 06:18:08,35662780-6
