rut,nombre,edad,sexo,id_instalacion
46251263-5,Catalina Luna,90,mujer,14
92310665-0,Sergio Galaz,47,hombre,29
77837095-6,Catalina Patiño,55,mujer,130
66922079-0,Nicolas Henriquez,70,mujer,63
79464991-k,Magdalena Santibañez,74,hombre,194
22997103-4,Lisandro Pinto,42,mujer,32
61890115-7,Leonardo Bucarei,42,hombre,127
45347413-5,Sofia Peña,29,hombre,189
54864080-6,Valentina Gutierrez,75,hombre,189
86447590-6,Simoney Mora,26,hombre,198
45355149-0,Martin Bustos,54,hombre,196
19942007-0,Diego Caniullan,89,hombre,192
79263691-8,Yanara Carrasco,39,mujer,52
32165632-3,Karla Castillo,38,mujer,170
66760004-9,Yaimara Cisternas,83,hombre,73
49326776-0,Pamela Figueroa,91,mujer,10
97804380-1,Aritza Flores,67,mujer,171
83399209-0,Giordano Flores,20,hombre,143
86260284-6,Danae Gamboa,95,mujer,169
19209075-k,Diego Guajardo,74,mujer,155
31653150-4,Bayron Guzman,84,mujer,27
64100872-9,Gabriela Jimenez,26,hombre,55
72629258-2,Orlando Moraga,56,hombre,57
17263415-k,Matias Moreno,13,mujer,95
18208603-7,Matias Painequeo,85,mujer,191
90414316-2,Sayenn Pavez,26,mujer,146
16045471-7,Gonzalo Pino,88,mujer,12
28792266-3,Benjamin Quilacon,37,hombre,137
68353685-7,Millaray Ramos,56,hombre,212
99428020-1,Aaron Roa,83,mujer,187
24840265-2,Martin Rojas,66,hombre,180
79850677-3,Yael Salcedo,81,hombre,75
95741388-9,Caceres San,57,mujer,26
77210598-3,Lucas Santibañez,63,hombre,40
96187015-1,Luis Torres,57,mujer,155
68120110-6,Zithlali Ulloa,28,hombre,5
56619171-7,Javiera Vasquez,66,hombre,129
51616764-5,Jorge Zumelzu,15,mujer,194
60916764-5,Alan Aceiton,97,hombre,102
81252987-0,Paz Aguayo,41,mujer,76
59192155-k,Flores Al,67,hombre,125
41391265-2,Lucas Araya,81,hombre,57
76041278-3,Daniela Arriagada,75,mujer,182
78158392-8,Benjamin Barria,43,mujer,49
49995619-3,Franco Benavides,97,mujer,83
37156185-4,Genesis Cardenas,59,mujer,205
85410626-0,Sergio Cardenas,24,hombre,53
10116173-0,Antonio Carrasco,72,hombre,123
