id_instalacion,fecha_cierre,fecha_apertura,rut_jefe_cierre
103,2015-08-01 11:28:55,2015-08-13 19:08:29,95667888-9
173,2018-07-01 09:09:20,2018-07-09 20:21:43,76356563-7
18,2018-06-19 05:14:58,2018-06-25 20:50:21,45981588-0
34,2019-01-31 13:45:10,2019-02-09 14:55:13,14200344-9
91,2010-12-27 21:18:37,2011-01-10 08:49:35,74415365-4
174,2011-12-14 00:35:11,2011-12-28 11:48:45,14292252-5
88,2013-07-31 10:44:42,2013-08-09 10:51:49,73324033-4
46,2011-08-28 07:26:29,2011-08-31 21:51:28,91888493-9
153,2016-11-19 02:14:00,2016-11-29 08:27:37,23047484-2
192,2017-12-26 11:08:41,2018-01-04 16:25:46,91085975-7
191,2020-06-05 15:13:40,2020-06-20 04:13:21,92253121-8
28,2017-04-22 04:34:38,2017-05-05 14:46:52,94362008-3
82,2020-05-24 05:47:46,2020-06-01 16:57:08,21630671-6
13,2015-02-22 22:59:18,2015-03-03 15:04:07,79459402-3
144,2012-06-21 20:42:17,2012-07-04 08:28:01,70388205-6
183,2013-02-06 17:46:01,2013-02-11 20:37:38,26849996-2
105,2011-01-20 14:29:52,2011-01-26 15:13:17,63382431-2
207,2014-10-21 00:34:57,2014-11-04 07:47:17,79758989-6
21,2010-07-28 02:07:21,2010-08-03 05:40:41,56093204-9
56,2013-08-01 17:14:23,2013-08-04 17:23:19,43926456-k
125,2019-06-11 00:35:34,2019-06-15 06:54:53,84911278-3
160,2010-01-29 22:52:04,2010-02-05 05:26:47,23298314-0
184,2015-01-22 02:02:30,2015-01-28 09:19:21,52158784-9
77,2017-11-09 13:21:08,2017-11-24 04:06:03,57639262-1
10,2010-12-13 14:04:26,2010-12-18 05:12:06,28060713-4
116,2011-06-01 16:42:14,2011-06-15 18:52:13,86367440-9
134,2014-03-14 08:49:56,2014-03-17 15:58:17,57325256-k
210,2010-06-08 03:32:37,2010-06-20 07:36:48,83386046-1
185,2011-03-24 10:06:38,2011-03-30 17:27:26,86555166-5
27,2018-10-08 09:47:46,2018-10-16 16:03:44,69402733-4
213,2011-08-12 16:33:49,2011-08-16 04:17:18,13370165-6
140,2013-03-28 04:34:00,2013-04-01 14:21:45,68377701-3
164,2018-02-01 03:40:33,2018-02-04 06:22:35,75397524-1
60,2013-09-28 17:35:28,2013-10-08 19:05:09,54121962-5
115,2017-04-23 22:21:43,2017-05-02 04:49:33,23514054-3
129,2019-08-16 16:50:11,2019-08-22 02:30:31,69251591-9
203,2014-02-01 23:35:49,2014-02-14 03:31:28,50109588-5
171,2018-02-11 01:13:33,2018-02-19 16:53:23,94559048-3
65,2017-09-30 11:55:14,2017-10-08 04:23:09,30928102-0
101,2015-04-07 09:18:40,2015-04-11 20:49:09,35414863-3
48,2011-01-24 23:18:26,2011-02-02 05:16:51,37285914-8
133,2016-03-26 13:52:36,2016-04-08 22:24:59,59814228-9
31,2020-04-18 20:34:41,2020-05-01 05:11:28,90471139-k
148,2017-04-29 00:40:20,2017-05-05 04:05:03,95777850-k
25,2020-01-20 04:42:32,2020-01-26 12:09:31,96951878-3
102,2016-03-19 23:56:55,2016-03-26 06:19:30,60916764-5
47,2012-05-16 21:59:46,2012-05-31 03:13:25,27183294-k
201,2016-08-03 09:53:45,2016-08-06 10:19:10,41071374-8
200,2020-06-05 19:01:31,2020-06-13 11:31:54,38830395-6
135,2010-09-15 05:17:07,2010-09-24 15:33:46,48269008-4
100,2018-05-31 06:13:51,2018-06-04 18:42:23,34996262-4
1,2010-02-24 02:12:15,2010-03-01 02:49:22,39038168-9
59,2019-07-30 10:13:01,2019-08-09 12:49:02,75910499-4
146,2010-08-05 23:46:53,2010-08-20 05:28:36,50511840-5
84,2018-11-30 21:24:54,2018-12-06 05:07:03,15623590-3
78,2013-06-27 20:19:10,2013-07-04 06:37:51,12815044-7
72,2013-11-11 23:18:14,2013-11-18 01:03:08,64370666-0
193,2016-09-03 09:39:59,2016-09-16 11:17:31,20026905-5
79,2018-10-19 05:32:48,2018-10-22 09:23:10,77477421-1
139,2016-02-11 01:01:24,2016-02-18 12:07:08,91119340-k
3,2015-12-04 16:58:32,2015-12-13 00:47:07,16264932-9
74,2010-05-20 12:24:07,2010-06-04 01:52:53,72309503-4
36,2014-08-26 16:27:22,2014-09-02 00:26:04,29742884-5
147,2010-03-21 00:38:33,2010-04-04 04:35:11,16836029-0
11,2020-05-04 17:20:31,2020-05-12 05:17:49,40538537-6
212,2018-10-18 16:11:41,2018-10-25 00:06:15,77489819-0
0,2011-12-27 00:26:02,2012-01-09 16:57:02,47981838-k
41,2012-05-22 04:16:25,2012-06-01 19:14:56,23686910-5
137,2014-08-17 19:30:43,2014-08-28 20:33:23,84729190-7
198,2012-07-06 01:35:09,2012-07-17 01:43:27,86447590-6
108,2010-02-17 17:07:24,2010-02-22 06:20:11,63824003-3
209,2013-02-26 05:28:50,2013-03-04 21:09:03,46491043-3
182,2015-07-04 21:34:00,2015-07-16 08:37:35,33236616-5
7,2018-09-26 03:40:10,2018-10-05 20:08:18,83538271-0
109,2018-08-01 07:14:42,2018-08-06 18:41:03,12205074-2
14,2016-09-27 16:28:44,2016-10-03 22:55:00,30741496-1
165,2013-05-03 19:31:07,2013-05-10 03:47:59,51844875-7
24,2014-04-26 04:17:37,2014-04-30 15:43:32,32992512-9
143,2018-10-23 15:32:38,2018-11-06 08:09:58,61863167-2
176,2011-04-03 11:30:19,2011-04-13 20:55:50,72810804-5
154,2017-03-04 01:20:25,2017-03-12 03:01:57,59060940-4
89,2020-01-14 22:17:48,2020-01-23 03:18:33,58366562-5
202,2019-12-27 05:19:38,2020-01-09 08:35:14,91346186-k
